A,B,C,D
a530,b2879,c147,d3102
a2057,b2224,c3911,d1342
a3934,b3302,c2903,d3440
a2729,b1468,c1116,d2303
a1158,b41,c2860,d2459
a4049,b2423,c3700,d4321
a1293,b2636,c4609,d647
a2445,b2048,c2317,d3559
a3494,b2412,c4050,d4333
a3650,b1089,c1909,d3231
a2716,b3652,c3300,d2433
a555,b596,c4494,d2253
a1080,b1033,c4739,d1395
a2384,b2059,c1211,d1157
a1416,b2669,c1247,d3869
a4594,b2229,c2204,d2525
a1701,b2566,c3088,d2191
a823,b2845,c4771,d1923
a2184,b932,c4758,d2376
a2840,b741,c3635,d2875
a3144,b1079,c4193,d260
a3320,b3674,c2808,d3022
a2532,b2709,c4001,d2452
a3034,b2787,c498,d2005
a628,b437,c826,d2880
a3282,b1701,c614,d2113
a4303,b1456,c4434,d3111
a553,b47,c4251,d3758
a1716,b3068,c3204,d432
a3250,b730,c2609,d3913
a4165,b564,c4550,d2998
a1402,b3653,c3096,d4041
a1269,b910,c837,d1755
a4563,b15,c495,d1983
a1881,b3688,c3714,d3227
a2945,b3183,c1744,d2753
a1167,b119,c1997,d3798
a4720,b3195,c4610,d426
a1520,b728,c2414,d3964
a516,b2879,c3029,d2354
a911,b876,c2713,d3194
a422,b2783,c2129,d4342
a4141,b438,c2981,d35
a985,b2307,c3210,d2132
a2351,b3374,c3279,d737
a1202,b3583,c3457,d564
a2154,b1260,c2072,d2365
a3308,b1575,c987,d2240
a1315,b1011,c3044,d1021
a2157,b3406,c3319,d2540
a431,b1475,c4084,d807
a3404,b2353,c517,d3759
a3128,b593,c2284,d2430
a2765,b789,c3428,d4306
a4801,b3445,c4243,d159
a4543,b2017,c2420,d3345
a2948,b3062,c4415,d30
a3005,b1871,c368,d58
a4500,b2566,c3473,d1597
a1175,b305,c1147,d4120
a2939,b3246,c2305,d2372
a1953,b2839,c795,d3874
a2314,b794,c1911,d1331
a3063,b1164,c966,d1904
a3257,b455,c2293,d2475
a3187,b957,c2352,d3553
a1746,b3011,c1699,d4322
a4731,b3691,c2060,d378
a4762,b944,c2608,d3817
a4096,b508,c1705,d2369
a30,b1080,c3787,d2613
a4738,b292,c4038,d31
a3117,b1399,c577,d3755
a4354,b312,c346,d2677
a1238,b1405,c4362,d4070
a3292,b386,c3150,d149
a637,b949,c171,d465
a3673,b1270,c469,d2110
a4329,b984,c2399,d253
a4679,b2657,c608,d1811
a3814,b1196,c3090,d850
a509,b2391,c3845,d2361
a1575,b487,c3656,d2159
a600,b56,c4709,d1906
a959,b3409,c1574,d1642
a4437,b871,c2797,d1358
a221,b2846,c3377,d4255
a3033,b3032,c2621,d895
a326,b845,c1934,d730
a2269,b2427,c2608,d338
a1785,b2947,c2203,d3517
a2330,b3576,c1031,d4349
a586,b442,c902,d1462
a934,b2176,c4502,d3097
a2016,b2217,c146,d583
a365,b1178,c4350,d3109
a1396,b2623,c23,d3425
a1734,b3555,c1162,d4129
a3566,b516,c580,d927
a725,b1222,c400,d3355
a766,b1390,c2534,d25
a3594,b3495,c19,d990
a2698,b384,c4330,d3370
a2293,b3081,c1425,d306
a2946,b2179,c835,d3221
a220,b2834,c1906,d18
a4058,b2805,c386,d722
a1274,b1964,c3731,d4298
a333,b1028,c3375,d738
a3890,b2242,c967,d2134
a2860,b883,c1840,d4081
a4551,b3664,c30,d435
a4772,b692,c2892,d3760
a2751,b687,c1675,d3107
a3156,b1427,c3055,d3182
a4135,b3432,c3024,d3283
a1838,b1105,c1095,d1990
a270,b3569,c4667,d3293
a3833,b367,c2354,d1470
a4706,b2930,c32,d2503
a354,b2435,c1333,d3637
a3923,b1953,c2885,d3843
a3099,b1742,c3122,d3738
a2746,b1674,c4623,d1167
a3761,b450,c3447,d916
a702,b1716,c45,d2409
a4731,b3539,c1627,d4318
a4889,b3677,c2107,d2032
a352,b196,c3879,d313
a3924,b1851,c2045,d3995
a4314,b1587,c2708,d3441
a805,b3523,c2353,d2215
a1657,b2874,c4373,d424
a3006,b3318,c804,d2697
a295,b2466,c337,d3078
a559,b2680,c2184,d3328
a1506,b17,c3615,d891
a1082,b942,c2819,d3542
a2053,b359,c4609,d2878
a2097,b3420,c4339,d2892
a3549,b915,c4520,d2899
a1745,b859,c476,d298
a3917,b1671,c1470,d3084
a501,b17,c683,d2070
a1253,b2110,c665,d3971
a1603,b1134,c3720,d3135
a282,b1103,c3653,d1843
a4156,b364,c600,d3600
a2822,b2037,c3226,d4099
a2743,b1521,c4119,d404
a305,b506,c4510,d3604
a1009,b3014,c1222,d2865
a1535,b3116,c4460,d1693
a4614,b1668,c2298,d3655
a803,b3763,c3432,d3464
a3020,b3426,c2448,d2784
a3822,b492,c3330,d3343
a2934,b1978,c2049,d3019
a2980,b846,c3948,d3671
a4398,b1131,c2839,d164
a4483,b2974,c4187,d240
a1773,b199,c2316,d3460
a3945,b22,c4043,d896
a159,b2107,c1592,d704
a501,b1573,c4159,d1329
a4246,b443,c1838,d920
a86,b2664,c4028,d3188
a2809,b1536,c1479,d3800
a42,b3303,c2532,d3668
a3072,b532,c4483,d4349
a332,b3746,c3096,d4175
a143,b239,c3187,d356
a4593,b2995,c2557,d3604
a3381,b44,c608,d3487
a1269,b2252,c3365,d3386
a3306,b1422,c2512,d87
a4498,b2005,c2696,d673
a3688,b1485,c371,d925
a1919,b3612,c3130,d2479
a318,b3766,c77,d4356
a2990,b3078,c730,d448
a3568,b1084,c4701,d4254
a1069,b1073,c2397,d356
a39,b1773,c2178,d3084
a3727,b2512,c251,d4067
a213,b866,c2878,d767
a4457,b3023,c349,d3506
a2051,b2243,c2144,d2309
a2592,b3402,c359,d1651
a386,b37,c900,d2981
a3018,b1239,c272,d2374
a1078,b353,c2066,d2449
a4021,b51,c2313,d2731
a2575,b2127,c3794,d2585
a567,b3334,c2,d1610
a3778,b852,c2741,d1145
a4369,b3023,c583,d3433
a23,b3731,c4759,d1153
a105,b3118,c3724,d4400
a2166,b2551,c1045,d4267
a180,b2725,c4211,d533
a1720,b635,c1641,d3731
a1649,b424,c2710,d3577
a4750,b2925,c3375,d4230
a3882,b2505,c4389,d4133
a3662,b2544,c587,d2284
a1402,b3354,c1039,d4165
a1298,b1584,c4248,d1788
a3092,b2418,c766,d3559
a193,b3651,c1309,d4087
a2471,b2395,c2473,d1376
a2193,b2218,c1821,d1539
a4039,b975,c3276,d2200
a2312,b2489,c2588,d411
a774,b1247,c4045,d2724
a4430,b935,c3658,d3351
a2549,b1465,c2772,d2305
a3809,b2511,c3882,d958
a2854,b540,c1549,d37
a1610,b934,c514,d3518
a2848,b1618,c966,d2150
a904,b2263,c1184,d2758
a4078,b3740,c4334,d468
a1453,b1612,c153,d1229
a3992,b3446,c2291,d1851
a3609,b111,c1129,d2345
a1166,b2049,c4134,d2491
a3321,b1935,c4649,d657
a1085,b1929,c1032,d842
a2075,b2379,c1528,d4190
a3924,b1559,c3486,d146
a485,b2036,c2771,d1516
a3633,b3747,c2586,d20
a4214,b1116,c1870,d1333
a185,b3598,c4179,d4210
a2912,b740,c1253,d2928
a4366,b1913,c2423,d843
a4175,b2259,c1489,d445
a3488,b3195,c2674,d957
a4731,b932,c2407,d1629
a775,b3245,c2688,d2639
a2597,b2241,c724,d2698
a2350,b1376,c4543,d3110
a2654,b2029,c1542,d2859
a4072,b538,c639,d4195
a3823,b1623,c3728,d3043
a1466,b2037,c2277,d2306
a4500,b2509,c1704,d3193
a2172,b3511,c430,d2839
a3674,b1583,c4196,d901
a1394,b965,c3464,d3339
a107,b190,c4080,d3431
a3197,b146,c2444,d3550
a2115,b42,c4681,d150
a1025,b3236,c4405,d3321
a2929,b1821,c1173,d4433
a4146,b1858,c4447,d2403
a1767,b1765,c1974,d2363
a997,b1095,c3652,d2516
a678,b2118,c3077,d3916
a1140,b195,c627,d1319
a4441,b1585,c3080,d3903
a4527,b529,c4007,d1643
a872,b2023,c155,d270
a1004,b380,c883,d1688
a718,b3665,c3241,d3927
a4893,b347,c1464,d2538
a4283,b3741,c3046,d1407
a1140,b2716,c296,d3083
a4061,b94,c2034,d2145
a1491,b658,c2106,d2035
a4863,b3130,c4665,d274
a3701,b3652,c2200,d2180
a4356,b2513,c253,d1094
a381,b954,c2170,d1992
a2742,b2180,c4395,d1440
a4859,b2382,c2025,d3071
a1620,b1581,c1779,d3961
a2169,b739,c4337,d1068
a1619,b1111,c3073,d1953
a3926,b197,c3984,d2573
a2949,b2816,c3557,d3407
a703,b186,c876,d1966
a892,b3679,c1949,d996
a1738,b3003,c2738,d4290
a1400,b1023,c3979,d3296
a4048,b2098,c4736,d1884
a3207,b146,c4020,d80
a630,b3328,c3479,d1128
a955,b456,c4498,d2171
a1379,b572,c2193,d4075
a3302,b1320,c3644,d510
a3532,b939,c1635,d248
a2399,b2014,c2982,d3979
a1745,b86,c4130,d4218
a4565,b254,c809,d2346
a1889,b1273,c3846,d3747
a3409,b757,c560,d2581
a4132,b287,c3412,d1374
a488,b2271,c2042,d1235
a2996,b726,c1671,d3031
a1879,b848,c4384,d2169
a4890,b2266,c1793,d4256
a422,b2383,c842,d1754
a1942,b3047,c49,d4062
a3068,b443,c662,d372
a3274,b823,c3341,d2078
a2910,b690,c3540,d1679
a976,b2443,c3911,d1928
a3840,b627,c2274,d471
a461,b1568,c4265,d3606
a3499,b999,c1203,d1085
a250,b621,c784,d2070
a2748,b2546,c682,d456
a3737,b1372,c2211,d3563
a80,b1936,c3943,d813
a4810,b2005,c4238,d1438
a2403,b3572,c2687,d769
a1387,b880,c2227,d784
a4820,b2746,c2459,d981
a4574,b2093,c2600,d4360
a3482,b2523,c1825,d2553
a4015,b801,c4001,d179
a3679,b2065,c2316,d3057
a4536,b1888,c2342,d343
a1331,b1679,c449,d599
a3669,b1603,c2816,d788
a3225,b3421,c3027,d2025
a3556,b1180,c3352,d2890
a4592,b528,c3976,d3644
a66,b53,c516,d971
a1789,b865,c4123,d4279
a3667,b1220,c247,d4406
a2704,b2625,c4283,d390
a4854,b3552,c587,d1528
a2142,b88,c763,d740
a1418,b3098,c2628,d1852
a372,b832,c4773,d2837
a2319,b406,c2645,d1195
a1378,b2829,c721,d620
a4555,b822,c2914,d3721
a3731,b3632,c3425,d1374
a4067,b39,c1402,d3415
a3234,b2228,c1788,d3313
a586,b46,c4747,d1406
a986,b746,c2241,d2164
a948,b3630,c1932,d2069
a3249,b2391,c781,d1909
a3584,b2718,c1668,d846
a1269,b1768,c17,d1951
a536,b1223,c2513,d3547
a1187,b3252,c972,d554
a4798,b1413,c548,d1084
a3943,b2456,c3028,d434
a227,b828,c1461,d655
a4878,b243,c411,d4166
a3862,b3040,c4213,d2196
a3099,b243,c451,d3339
a2325,b3667,c91,d4404
a2934,b2541,c620,d1868
a376,b2587,c3839,d2712
a976,b258,c2280,d4347
a953,b3779,c3448,d82
a3276,b1913,c99,d2924
a91,b2608,c95,d894
a2888,b877,c243,d1619
a1734,b2702,c754,d4284
a4478,b583,c1834,d3467
a729,b2643,c4411,d868
a2622,b3690,c1393,d2024
a719,b3559,c23,d2189
a1997,b1821,c4431,d4064
a183,b2431,c36,d1613
a815,b985,c1636,d940
a2173,b1667,c2693,d3862
a977,b1715,c480,d3978
a1676,b2989,c1738,d4007
a1237,b888,c3279,d3899
a2685,b40,c859,d583
a3751,b250,c2381,d1363
a615,b1866,c3033,d800
a259,b3601,c413,d4211
a1774,b3368,c162,d3498
a1340,b1933,c2610,d2532
a2264,b2419,c3292,d4436
a4758,b912,c4698,d1081
a621,b3615,c4440,d4142
a1746,b798,c3667,d1518
a1939,b3340,c4044,d2630
a4268,b3130,c414,d1860
a4828,b831,c600,d3635
a3784,b2455,c1187,d2151
a385,b1013,c430,d1305
a245,b745,c253,d3781
a2361,b3773,c2668,d3457
a3611,b3218,c1441,d1959
a4287,b2255,c1634,d2618
a2864,b2207,c191,d2341
a2879,b3629,c3650,d3846
a588,b2714,c1741,d2520
a1974,b3734,c3187,d4147
a2841,b2066,c3762,d2917
a717,b2292,c3705,d4366
a2617,b79,c4180,d3594
a3611,b1415,c3302,d1603
a2299,b1613,c2375,d3605
a2075,b462,c1969,d3855
a1834,b1189,c2173,d1177
a1200,b1077,c1110,d3058
a1911,b1573,c1695,d1769
a3816,b2736,c1724,d2281
a4873,b712,c269,d4418
a1488,b995,c2042,d3923
a75,b2060,c3272,d362
a3885,b2083,c1540,d1083
a1458,b3718,c2552,d1259
a1734,b1527,c3646,d1636
a2555,b2018,c2908,d428
a882,b3319,c3181,d2161
a4803,b3223,c939,d3283
a360,b2721,c4074,d2958
a2009,b3131,c4513,d408
a2451,b814,c576,d2972
a4744,b2973,c1766,d1693
a950,b476,c1348,d3299
a447,b1053,c2652,d527
a541,b565,c1333,d2391
a3997,b1801,c3494,d1516
a153,b2454,c2661,d2432
a3486,b3145,c1143,d3874
a1588,b3108,c3607,d1455
a3215,b1510,c4380,d2038
a2720,b500,c2139,d1832
a3428,b2393,c501,d3961
a2223,b2863,c4555,d4206
a3817,b3019,c4063,d2462
a3917,b2895,c2322,d312
a72,b741,c689,d684
a4129,b1896,c2031,d1079
a1740,b1296,c693,d2109
a2741,b2046,c3255,d764
a4557,b450,c3888,d111
a3003,b15,c3528,d3215
a4146,b1353,c982,d2571
a2958,b1486,c3495,d4384
a4111,b1933,c3622,d1319
a4848,b498,c3655,d1011
a4588,b2393,c1357,d3279
a105,b1345,c1481,d1611
a1402,b2268,c1476,d2637
a3932,b3256,c3489,d2521
a2876,b760,c4155,d4193
a225,b3134,c1092,d2698
a1015,b1831,c4487,d2126
a581,b3383,c916,d2791
a652,b742,c4687,d679
a1853,b2371,c2328,d473
a4839,b2975,c2578,d1794
a3355,b1370,c3278,d889
a4176,b3489,c2298,d3008
a1729,b1399,c3446,d1810
a2773,b1055,c2866,d1563
a881,b3728,c2355,d983
a628,b3773,c594,d3485
a2459,b2262,c3340,d1763
a529,b688,c4665,d1406
a3316,b1744,c4757,d3367
a391,b3125,c1256,d3342
a657,b3352,c2891,d1833
a3898,b1623,c551,d1309
a3688,b1199,c969,d4190
a3807,b3389,c1035,d3850
a919,b613,c2399,d4310
a1705,b2159,c2265,d2499
a4283,b62,c3004,d897
a3281,b748,c4749,d2444
a2114,b3465,c2098,d1034
a427,b3077,c2756,d2639
a2978,b3216,c562,d3745
a4882,b937,c3073,d573
a371,b826,c358,d2426
a4138,b375,c711,d2575
a2387,b3228,c1374,d506
a499,b2451,c641,d3603
a1271,b374,c3139,d2527
a3842,b1770,c2576,d4239
a1642,b2477,c2694,d3812
a3357,b2000,c3978,d2989
a2208,b206,c949,d203
a3255,b754,c1781,d819
a1533,b1671,c57,d874
a554,b1338,c634,d356
a4400,b3280,c3595,d4325
a268,b1232,c1168,d2137
a3103,b3235,c744,d2399
a4488,b1364,c1458,d4043
a4533,b2343,c721,d4356
a2434,b2684,c1205,d4010
a4772,b446,c4651,d1377
a1903,b424,c4462,d3268
a3596,b2891,c3455,d2186
a3628,b1525,c4561,d1008
a2901,b1257,c2731,d1067
a1781,b1975,c868,d1477
a754,b2451,c3453,d4212
a3443,b1615,c2128,d1509
a3827,b337,c1925,d17
a4280,b1225,c2673,d931
a775,b1846,c1319,d3070
a2650,b98,c3895,d603
a4516,b541,c467,d2651
a4840,b2303,c1446,d3225
a4409,b2047,c1318,d4353
a4282,b3144,c2169,d1072
a3111,b2951,c3866,d3032
a3199,b465,c1080,d3951
a2217,b2997,c3712,d4177
a813,b131,c4300,d3814
a3433,b3558,c4088,d4092
a326,b3444,c822,d1590
a3734,b2865,c4698,d2501
a2637,b3379,c1276,d1340
a1871,b2852,c3290,d4423
a4504,b2342,c3497,d4
a1377,b2100,c2195,d380
a3881,b1636,c1081,d3765
a1167,b2658,c1744,d1399
a3802,b1499,c1303,d2233
a4697,b2361,c1882,d1902
a2400,b412,c2634,d1952
a1614,b2110,c577,d2363
a2667,b538,c4128,d3684
a2054,b1555,c1112,d2372
a2980,b738,c3525,d2436
a2084,b2474,c3092,d4151
a4633,b520,c2894,d1843
a604,b237,c203,d2125
a3270,b3705,c3765,d2027
a3224,b2831,c3798,d699
a1032,b2622,c856,d910
a2222,b2641,c3698,d1614
a266,b3573,c2323,d2520
a3167,b1606,c1357,d4125
a1608,b83,c4307,d87
a3690,b1098,c4159,d4065
a170,b650,c1970,d4092
a3466,b291,c869,d1713
a1499,b624,c3813,d2950
a2574,b3072,c4692,d1874
a3526,b755,c2768,d3029
a4363,b2677,c3205,d1513
a4230,b2803,c2436,d1269
a4496,b1169,c3603,d1549
a4466,b2946,c2977,d3021
a2228,b226,c2149,d4202
a3194,b2399,c2455,d4177
a2709,b916,c3370,d4208
a602,b1086,c917,d498
a4366,b576,c3683,d4058
a1563,b2648,c3472,d3028
a4121,b2770,c3522,d116
a1809,b3172,c2276,d2956
a789,b1939,c1636,d3913
a1579,b1605,c2507,d103
a1125,b3392,c1043,d3631
a2811,b1955,c1792,d631
a767,b2794,c3159,d3687
a1806,b372,c2034,d2734
a4355,b1199,c2065,d1905
a4494,b1295,c1731,d684
a4724,b2057,c1105,d510
a193,b1337,c3850,d3092
a628,b2439,c3561,d2223
a3499,b592,c2725,d2598
a3532,b335,c4079,d1120
a3789,b1130,c651,d8
a3938,b2673,c4674,d1823
a718,b2521,c3534,d1607
a998,b2715,c1291,d2290
a3612,b335,c3506,d2245
a2097,b2651,c3883,d1756
a4259,b1148,c642,d4030
a2438,b3588,c901,d247
a2623,b2118,c3536,d2058
a48,b2291,c63,d2711
a3425,b827,c1122,d2932
a357,b1082,c4090,d1519
a180,b1512,c4605,d895
a4074,b3040,c4199,d2768
a3795,b2142,c3531,d3954
a2946,b860,c2892,d1279
a2764,b220,c1051,d906
a2783,b3218,c4764,d1156
a1593,b909,c1318,d2386
a3137,b1111,c2503,d341
a3297,b1535,c2315,d3478
a1864,b2521,c692,d1069
a4767,b1220,c3424,d3531
a3175,b1717,c3230,d1881
a4455,b2692,c650,d4180
a4027,b1602,c4550,d3050
a1114,b2426,c1606,d3760
a2685,b1739,c1896,d4292
a2115,b3779,c121,d775
a1781,b1952,c31,d1637
a10,b2673,c1031,d385
a3471,b2853,c3693,d2246
a2853,b1847,c1650,d2060
a2092,b2303,c1804,d1843
a4796,b3563,c163,d2010
a1878,b1948,c4172,d251
a2857,b754,c239,d164
a658,b220,c2083,d1983
a659,b1294,c2647,d3780
a2769,b720,c2474,d2491
a1391,b2803,c4401,d2223
a338,b1993,c781,d2320
a4829,b1626,c3222,d392
a703,b782,c2139,d3411
a3915,b3495,c2776,d450
a2723,b476,c1895,d3459
a2623,b671,c10,d3457
a4336,b166,c2582,d91
a2237,b2700,c1552,d4005
a4468,b2064,c4302,d3207
a3589,b3708,c1158,d2883
a1878,b977,c1942,d4300
a864,b1764,c2582,d3582
a3268,b1286,c1606,d3209
a2400,b915,c2347,d1060
a83,b2089,c1344,d2415
a1241,b1675,c461,d128
a2664,b534,c2657,d1152
a4696,b666,c716,d877
a2905,b1310,c914,d3606
a4626,b1327,c568,d2395
a3440,b3777,c4353,d242
a2120,b773,c2306,d1336
a2304,b1305,c1078,d1013
a3802,b2368,c2280,d3301
a4588,b842,c4094,d1116
a3643,b397,c2159,d3402
a2702,b843,c1325,d1866
a2245,b1855,c1609,d1280
a1615,b1213,c2256,d490
a1756,b977,c4398,d2828
a1348,b467,c2234,d3458
a4498,b309,c4439,d451
a4694,b3077,c3372,d2016
a3935,b82,c3326,d1567
a3930,b2349,c1229,d3770
a2778,b1110,c4449,d4439
a2705,b2750,c246,d3709
a1339,b2886,c1095,d1693
a2333,b329,c3987,d1347
a3959,b3523,c278,d1860
a526,b617,c1477,d1171
a4137,b2827,c229,d3922
a3040,b3197,c2089,d343
a4393,b1705,c3398,d2459
a735,b1955,c3048,d1731
a891,b1509,c1321,d4035
a4468,b3405,c1326,d624
a3647,b905,c3985,d3701
a3577,b2411,c1632,d2943
a3586,b1809,c3273,d203
a1908,b2160,c4415,d2174
a2211,b2788,c213,d3064
a2176,b1915,c3291,d636
a1040,b2980,c998,d3864
a4100,b3764,c3324,d1353
a1226,b2031,c3258,d3357
a4269,b1849,c169,d3028
a3342,b3495,c689,d4005
a1628,b1711,c3537,d3721
a1375,b3110,c2831,d2864
a4207,b3308,c2480,d2408
a1227,b3248,c2765,d738
a557,b1258,c938,d226
a3238,b367,c2435,d3973
a1182,b139,c2677,d255
a1176,b2596,c2640,d1262
a908,b3170,c4533,d495
a1343,b1997,c511,d3651
a2921,b1961,c732,d2918
a3181,b1997,c3827,d2934
a4672,b726,c2273,d3393
a4498,b2066,c3908,d3481
a566,b3153,c2490,d833
a4374,b2925,c272,d3202
a1875,b1416,c4293,d510
a4808,b3271,c3189,d1290
a2236,b204,c1611,d2791
a568,b3166,c1882,d3671
a3207,b390,c705,d4079
a28,b3376,c1803,d4159
a3803,b3081,c4551,d1387
a962,b2468,c3251,d2603
a912,b1621,c4525,d4032
a428,b1720,c869,d1030
a4437,b611,c3235,d2520
a761,b3696,c1534,d3746
a4678,b1732,c2231,d2641
a3409,b772,c3178,d2167
a2451,b3043,c206,d1439
a4127,b2909,c402,d1470
a188,b3599,c3309,d3362
a3047,b2769,c856,d123
a76,b309,c2592,d1369
a328,b3291,c1583,d232
a1013,b2984,c1563,d2760
a41,b3584,c2220,d102
a397,b2420,c2746,d3351
a1868,b2435,c3931,d1772
a98,b2043,c1416,d3133
a4580,b378,c1506,d3498
a1741,b3448,c2114,d189
a1804,b1329,c2756,d393
a4855,b3633,c2660,d935
a923,b1796,c3059,d1606
a2507,b3694,c974,d1527
a2674,b2735,c3625,d1821
a3327,b1604,c1282,d427
a3317,b1405,c2653,d584
a3558,b1284,c1612,d2203
a376,b3616,c2854,d4424
a4047,b3046,c4284,d815
a4322,b1937,c4284,d2530
a298,b3307,c2344,d854
a1674,b343,c3013,d2645
a1452,b2020,c2278,d2349
a4506,b794,c1998,d3014
a1007,b818,c421,d3634
a803,b3506,c385,d1357
a4091,b1359,c2527,d394
a209,b658,c4308,d1936
a1974,b848,c4285,d2850
a1857,b14,c3221,d1666
